,sci_name
797,Euderma maculatum
798,Lasionycteris noctivagans
799,Lasiurus cinereus
800,Lasiurus xanthinus
801,Myotis californicus
802,Myotis ciliolabrum
803,Myotis thysanodes
804,Myotis velifer
805,Myotis volans
806,Myotis yumanensis
807,Pipistrellus hesperus
808,Pipistrellus subflavus
809,Lepus californicus
810,Sylvilagus audubonii
811,Sylvilagus floridanus
812,Sylvilagus robustus
813,Castor canadensis
814,Neotoma albigula
815,Neotoma mexicana
816,Neotoma micropus
817,Onychomys arenicola
818,Peromyscus boylii
819,Peromyscus eremicus
820,Peromyscus leucopus
821,Peromyscus maniculatus
822,Peromyscus nasutus
823,Peromyscus pectoralis
824,Reithrodontomys fulvescens
825,Reithrodontomys megalotis
826,Reithrodontomys montanus
827,Sigmodon hispidus
828,Sigmodon ochrognathus
829,Erethizon dorsatum
830,Cratogeomys castanops
831,Thomomys bottae
832,Chaetodipus eremicus
833,Chaetodipus nelsoni
834,Dipodomys merriami
835,Dipodomys ordii
836,Perognathus flavus
837,Perognathus merriami
838,Myocastor coypus
839,Ammospermophilus interpres
840,Spermophilus mexicanus
841,Spermophilus spilosoma
842,Spermophilus variegatus
843,Notiosorex crawfordi
844,Accipiter cooperii
845,Accipiter gentilis
846,Accipiter striatus
847,Aquila chrysaetos
848,Buteo albicaudatus
849,Buteo albonotatus
850,Buteo brachyurus
851,Buteo jamaicensis
852,Buteo lagopus
853,Buteo lineatus
854,Buteo nitidus
855,Buteo platypterus
856,Buteo regalis
857,Buteo swainsoni
858,Buteogallus anthracinus
859,Circus cyaneus
860,Elanoides forficatus
861,Elanus leucurus
862,Haliaeetus leucocephalus
863,Ictinia mississippiensis
864,Parabuteo unicinctus
865,Cathartes aura
866,Coragyps atratus
867,Pandion haliaetus
868,Aix sponsa
869,Anas acuta
870,Anas americana
871,Anas clypeata
872,Anas crecca
873,Anas cyanoptera
874,Anas discors
875,Anas platyrhynchos
876,Anas strepera
877,Anser albifrons
878,Aythya affinis
879,Aythya americana
880,Aythya collaris
881,Aythya valisineria
882,Branta canadensis
883,Bucephala albeola
884,Bucephala clangula
885,Chen caerulescens
886,Chen rossii
887,Cygnus columbianus
888,Dendrocygna autumnalis
889,Lophodytes cucullatus
890,Mergus merganser
891,Mergus serrator
892,Oxyura jamaicensis
893,Aeronautes saxatalis
894,Chaetura pelagica
895,Amazilia beryllina
896,Amazilia violiceps
897,Archilochus alexandri
898,Archilochus colubris
899,Calothorax lucifer
900,Calypte anna
901,Calypte costae
902,Cynanthus latirostris
903,Eugenes fulgens
904,Hylocharis leucotis
905,Lampornis clemenciae
