activity_id,activity_name,park_id
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
19A59EFB-DF4B-4049-9EE1-A784CAC9C70C,Arts and Crafts,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
45261C0A-00D8-4C27-A1F8-029F933A0D34,Front-Country Hiking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
4D224BCA-C127-408B-AC75-A51563C42411,Paddling,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
21DB3AFC-8AAC-4665-BC1F-7198C0685983,Canoeing,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
256543C7-4322-48B3-8978-765E89AA9431,Kayak Camping,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
F353A9ED-4A08-456E-8DEC-E61974D0FEB6,Kayaking,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
B3EF12AF-D951-419E-BD3C-6B36CBCC1E16,Stand Up Paddleboarding,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
42CF4021-8524-428E-866A-D33097A4A764,SCUBA Diving,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
3EBF7EAC-68FC-4754-B6A4-0C38A1583D45,Snorkeling,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
AE3C95F5-E05B-4A28-81DD-1C5FD4BE88E2,Surfing,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
587BB2D3-EC35-41B2-B3F7-A39E2B088AEE,Swimming,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
C2801992-F34D-4974-A0F2-80FF04309EE4,Saltwater Swimming,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
