,Park Name,Category,Order,Family,Scientific Name,Common Names
144,Acadia National Park,Bird,Passeriformes,Fringillidae,Loxia leucoptera,White-Winged Crossbill
145,Acadia National Park,Bird,Passeriformes,Hirundinidae,Hirundo rustica,Barn Swallow
146,Acadia National Park,Bird,Passeriformes,Hirundinidae,Petrochelidon pyrrhonota,"Cliff Swallow, Eastern Cliff Swallow, Eave Swallow, Northern Cliff Swallow"
147,Acadia National Park,Bird,Passeriformes,Hirundinidae,Progne subis,"Northern Purple Martin, Purple Martin"
148,Acadia National Park,Bird,Passeriformes,Hirundinidae,Stelgidopteryx serripennis,"Northern Rough-Winged Swallow, Rough-Winged Swallow"
149,Acadia National Park,Bird,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow
150,Acadia National Park,Bird,Passeriformes,Icteridae,Agelaius phoeniceus,"Eastern Red-Wing, Eastern Red-Winged Blackbird, Red-Winged Blackbird"
151,Acadia National Park,Bird,Passeriformes,Icteridae,Euphagus carolinus,Rusty Blackbird
152,Acadia National Park,Bird,Passeriformes,Icteridae,Icterus galbula,"Baltimore Oriole, Northern Oriole"
153,Acadia National Park,Bird,Passeriformes,Icteridae,Molothrus ater,"Brown-Headed Cowbird, Cowbird, Eastern Cowbird"
154,Acadia National Park,Bird,Passeriformes,Icteridae,Quiscalus quiscula,"Bronzed Grackle, Common Grackle"
155,Acadia National Park,Bird,Passeriformes,Icteridae,Sturnella magna,Eastern Meadowlark
156,Acadia National Park,Bird,Passeriformes,Mimidae,Dumetella carolinensis,"Catbird, Gray Catbird"
157,Acadia National Park,Bird,Passeriformes,Mimidae,Toxostoma rufum,"Brown Thrasher, Eastern Brown Thrasher"
158,Acadia National Park,Bird,Passeriformes,Motacillidae,Anthus rubescens,"American Pipit, American Water Pipit, Water Pipit"
159,Acadia National Park,Bird,Passeriformes,Paridae,Poecile atricapillus,Black-Capped Chickadee
160,Acadia National Park,Bird,Passeriformes,Paridae,Poecile hudsonicus,Acadian Boreal Chickadee
161,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica caerulescens,"Black-Throated Blue Warbler, Northern Black-Throated Blue Warbler"
162,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica castanea,Bay-Breasted Warbler
163,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica coronata,"Butter Butt, Eastern Myrtle Warbler, Myrtle Warbler, Yellow-Rumped Warbler"
164,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica discolor,"Northern Prairie Warbler, Prairie Warbler"
165,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica dominica,Yellow-Throated Warbler
166,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica fusca,Blackburnian Warbler
167,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica magnolia,Magnolia Warbler
168,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica palmarum,"Palm Warbler, Yellow Palm Warbler"
169,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica pensylvanica,Chestnut-Sided Warbler
170,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica petechia,"Eastern Yellow Warbler, Yellow Warbler"
171,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica striata,"Blackpoll Warbler, Black-Poll Warbler"
172,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica tigrina,Cape May Warbler
173,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica townsendi,Townsend's Warbler
174,Acadia National Park,Bird,Passeriformes,Parulidae,Dendroica virens,"Black-Throated Green Warbler, Northern Black-Throated Green Warbler"
175,Acadia National Park,Bird,Passeriformes,Parulidae,Geothlypis trichas,"Common Yellowthroat, Maryland Yellow Throat, Maryland Yellowthroat, Northern Yellowthroat, Northern Yellow-Throat, Yellowthroat, Yellow-Throat"
176,Acadia National Park,Bird,Passeriformes,Parulidae,Mniotilta varia,"Black And White Creeper, Black And White Warbler, Black-And-White Warbler"
177,Acadia National Park,Bird,Passeriformes,Parulidae,Oporornis agilis,Connecticut Warbler
178,Acadia National Park,Bird,Passeriformes,Parulidae,Oporornis formosus,Kentucky Warbler
179,Acadia National Park,Bird,Passeriformes,Parulidae,Oporornis philadelphia,Mourning Warbler
180,Acadia National Park,Bird,Passeriformes,Parulidae,Parula americana,"Northern Parula, Northern Parula Warbler, Parula Warbler"
181,Acadia National Park,Bird,Passeriformes,Parulidae,Seiurus aurocapillus,"Common Oven-Bird, Ovenbird"
182,Acadia National Park,Bird,Passeriformes,Parulidae,Seiurus noveboracensis,"Northern Waterthrush, Northern Water-Thrush"
183,Acadia National Park,Bird,Passeriformes,Parulidae,Setophaga ruticilla,"American Redstart, Redstart"
184,Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora celata,"Eastern Orange-Crowned Warbler, Orange-Crowned Warbler"
185,Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora chrysoptera,Golden-Winged Warbler
186,Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora peregrina,Tennessee Warbler
187,Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora pinus,Blue-Winged Warbler
188,Acadia National Park,Bird,Passeriformes,Parulidae,Vermivora ruficapilla,"Eastern Nashville Warbler, Nashville Warbler"
189,Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia canadensis,Canada Warbler
190,Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia citrina,Hooded Warbler
191,Acadia National Park,Bird,Passeriformes,Parulidae,Wilsonia pusilla,"Wilson's Pileolated Warbler, Wilson's Warbler"
192,Acadia National Park,Bird,Passeriformes,Polioptilidae,Polioptila caerulea,Blue-Gray Gnatcatcher
193,Acadia National Park,Bird,Passeriformes,Regulidae,Regulus calendula,"Eastern Ruby-Crowned Kinglet, Ruby-Crowned Kinglet"
194,Acadia National Park,Bird,Passeriformes,Regulidae,Regulus satrapa,"Eastern Golden-Crowned Kinglet, Golden-Crowned Kinglet"
195,Acadia National Park,Bird,Passeriformes,Sittidae,Sitta canadensis,Red-Breasted Nuthatch
196,Acadia National Park,Bird,Passeriformes,Sittidae,Sitta carolinensis,"Eastern White-Breasted Nuthatch, White-Breasted Nuthatch"
197,Acadia National Park,Bird,Passeriformes,Troglodytidae,Cistothorus palustris,"Long-Billed Marsh Wren, Marsh Wren, Prairie Marsh Wren"
198,Acadia National Park,Bird,Passeriformes,Troglodytidae,Cistothorus platensis,"Sedge Wren, Short-Billed Marsh Wren, Short-Billed Sedge Wren"
199,Acadia National Park,Bird,Passeriformes,Troglodytidae,Troglodytes troglodytes,"Eastern Winter Wren, Winter Wren"
200,Acadia National Park,Bird,Passeriformes,Turdidae,Catharus fuscescens,"Eastern Veery, Veery, Wilson's Thrush"
201,Acadia National Park,Bird,Passeriformes,Turdidae,Catharus guttatus,"Eastern Hermit Thrush, Hermit Thrush"
202,Acadia National Park,Bird,Passeriformes,Turdidae,Catharus minimus,"Gray-Cheeked Thrush, Northern Gray-Cheeked Thrush"
203,Acadia National Park,Bird,Passeriformes,Turdidae,Catharus ustulatus,"Olive-Backed Swainson's Thrush, Olive-Backed Thrush, Swainson's Thrush"
204,Acadia National Park,Bird,Passeriformes,Turdidae,Hylocichla mustelina,Wood Thrush
205,Acadia National Park,Bird,Passeriformes,Turdidae,Sialia sialis,"Bluebird, Eastern Bluebird"
206,Acadia National Park,Bird,Passeriformes,Turdidae,Turdus migratorius,"American Robin, Eastern Robin"
207,Acadia National Park,Bird,Passeriformes,Tyrannidae,Contopus cooperi,Olive-Sided Flycatcher
208,Acadia National Park,Bird,Passeriformes,Tyrannidae,Contopus virens,"Eastern Wood Pewee, Wood Pewee"
209,Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax alnorum,Alder Flycatcher
210,Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax flaviventris,Yellow-Bellied Flycatcher
211,Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax minimus,"Chebec, Least Flycatcher"
212,Acadia National Park,Bird,Passeriformes,Tyrannidae,Empidonax traillii,"Alder Traill's Flycatcher, Traills Flycatcher, Willow Flycatcher"
213,Acadia National Park,Bird,Passeriformes,Tyrannidae,Myiarchus crinitus,"Crested Flycatcher, Great Crested Flycatcher, Northern Crested Flycatcher"
214,Acadia National Park,Bird,Passeriformes,Tyrannidae,Sayornis phoebe,"Eastern Phoebe, Phoebe"
215,Acadia National Park,Bird,Passeriformes,Tyrannidae,Tyrannus tyrannus,Eastern Kingbird
216,Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo flavifrons,Yellow-Throated Vireo
217,Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo gilvus,"Eastern Warbling Vireo, Warbling Vireo"
218,Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo griseus,"Northern White-Eyed Vireo, White-Eyed Vireo"
219,Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo olivaceus,Red-Eyed Vireo
220,Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo philadelphicus,Philadelphia Vireo
221,Acadia National Park,Bird,Passeriformes,Vireonidae,Vireo solitarius,"Blue-Headed Solitary Vireo, Blue-Headed Vireo, Solitary Vireo"
222,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Ardea alba,"American Egret, Common Egret?, Great Egret"
223,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Ardea herodias,"Great Blue Heron, Northern Great Blue Heron"
224,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Botaurus lentiginosus,American Bittern
225,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Butorides virescens,"Eastern Green Heron, Green Heron, Green-Backed Heron"
226,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Egretta caerulea,"Little Blue Heron, Northern Little Blue Heron"
227,Acadia National Park,Bird,Pelecaniformes,Ardeidae,Egretta thula,Snowy Egret
